run_id,task,condition,model,rep,value,completion_tokens,code_lines
T1_C0_opus_r5,T1,C0,opus,r5,-0.11756978413300206,856,8
T1_C0_opus_r3,T1,C0,opus,r3,-0.11756978413300206,1016,11
T1_C0_opus_r6,T1,C0,opus,r6,-0.11756978413300206,961,11
T1_C0_opus_r2,T1,C0,opus,r2,-0.11756978413300206,1035,12
T1_C0_opus_r4,T1,C0,opus,r4,-0.11756978413300206,457,11
T1_C0_opus_r1,T1,C0,opus,r1,-0.11756978413300206,1018,7
T1_C1_opus_r1,T1,C1,opus,r1,-0.11756978413300206,941,11
T1_C1_opus_r2,T1,C1,opus,r2,-0.11756978413300206,716,10
T1_C1_opus_r3,T1,C1,opus,r3,-0.11756978413300206,898,8
T1_C1_opus_r5,T1,C1,opus,r5,-0.11756978413300206,929,7
T1_C1_opus_r4,T1,C1,opus,r4,-0.11756978413300206,972,6
T1_C1_opus_r6,T1,C1,opus,r6,-0.11756978413300206,498,10
T1_C2_opus_r2,T1,C2,opus,r2,-0.11756978413300206,905,9
T1_C2_opus_r1,T1,C2,opus,r1,-0.11756978413300206,1261,7
T1_C2_opus_r6,T1,C2,opus,r6,-0.11756978413300206,938,11
T1_C2_opus_r3,T1,C2,opus,r3,-0.11756978413300206,564,8
T1_C2_opus_r4,T1,C2,opus,r4,-0.11756978413300206,1251,13
T1_C2_opus_r5,T1,C2,opus,r5,-0.11756978413300206,520,10
T1_C3_opus_r1,T1,C3,opus,r1,-0.11756978413300206,987,9
T1_C3_opus_r4,T1,C3,opus,r4,-0.11756978413300206,971,10
T1_C3_opus_r2,T1,C3,opus,r2,-0.11756978413300206,796,14
T1_C3_opus_r6,T1,C3,opus,r6,-0.11756978413300206,544,9
T1_C3_opus_r3,T1,C3,opus,r3,-0.11756978413300206,961,13
T1_C4_opus_r1,T1,C4,opus,r1,-0.11756978413300206,1149,13
T1_C4_opus_r3,T1,C4,opus,r3,-0.11756978413300206,539,14
T1_C3_opus_r5,T1,C3,opus,r5,-0.11756978413300206,1097,14
T1_C4_opus_r2,T1,C4,opus,r2,-0.11756978413300206,935,11
T1_C4_opus_r4,T1,C4,opus,r4,-0.11756978413300206,919,12
T1_C4_opus_r5,T1,C4,opus,r5,-0.11756978413300206,1010,7
T1_C4_opus_r6,T1,C4,opus,r6,-0.11756978413300206,739,11
T2_C0_opus_r4,T2,C0,opus,r4,0.8928571428571429,987,24
T2_C0_opus_r1,T2,C0,opus,r1,0.8928571428571429,2349,25
T2_C0_opus_r2,T2,C0,opus,r2,0.8928571428571429,1668,29
T2_C0_opus_r5,T2,C0,opus,r5,0.8928571428571429,2535,25
T2_C0_opus_r3,T2,C0,opus,r3,0.8928571428571429,2732,30
T2_C0_opus_r6,T2,C0,opus,r6,0.8805970149253731,2154,24
T2_C1_opus_r1,T2,C1,opus,r1,0.8928571428571429,995,21
T2_C1_opus_r4,T2,C1,opus,r4,0.8805970149253731,1770,30
T2_C1_opus_r2,T2,C1,opus,r2,0.8805970149253731,1767,31
T2_C1_opus_r5,T2,C1,opus,r5,0.8805970149253731,1631,24
T2_C1_opus_r3,T2,C1,opus,r3,0.892857,2630,30
T2_C1_opus_r6,T2,C1,opus,r6,0.8928571428571429,1153,26
T2_C2_opus_r1,T2,C2,opus,r1,0.8928571428571429,2212,18
T2_C2_opus_r3,T2,C2,opus,r3,0.8809523809523809,729,19
T2_C2_opus_r5,T2,C2,opus,r5,0.8809523809523809,1942,19
T2_C2_opus_r2,T2,C2,opus,r2,0.8809523809523809,2257,26
T2_C2_opus_r6,T2,C2,opus,r6,0.8928571428571429,1730,26
T2_C2_opus_r4,T2,C2,opus,r4,0.8809523809523809,2555,26
T2_C3_opus_r1,T2,C3,opus,r1,0.8805970149253731,2462,22
T2_C3_opus_r4,T2,C3,opus,r4,0.8805970149253731,1165,30
T2_C3_opus_r2,T2,C3,opus,r2,0.8805970149253731,1228,30
T2_C3_opus_r3,T2,C3,opus,r3,0.8805970149253731,1982,25
T2_C3_opus_r6,T2,C3,opus,r6,0.8805970149253731,1455,26
T2_C4_opus_r1,T2,C4,opus,r1,0.8805970149253731,1243,21
T2_C3_opus_r5,T2,C3,opus,r5,0.8805970149253731,3116,22
T2_C4_opus_r2,T2,C4,opus,r2,0.8805970149253731,1266,21
T2_C4_opus_r4,T2,C4,opus,r4,0.8805970149253731,1288,21
T2_C4_opus_r5,T2,C4,opus,r5,0.8805970149253731,647,28
T2_C4_opus_r6,T2,C4,opus,r6,0.8805970149253731,1283,21
T2_C4_opus_r3,T2,C4,opus,r3,0.8805970149253731,1789,28
T3_C0_opus_r1,T3,C0,opus,r1,0.6696719536879615,1895,25
T3_C0_opus_r2,T3,C0,opus,r2,0.669672,2201,30
T3_C0_opus_r4,T3,C0,opus,r4,0.6696719536879615,1707,24
T3_C0_opus_r3,T3,C0,opus,r3,0.6696719536879615,2020,25
T3_C0_opus_r5,T3,C0,opus,r5,0.6696719536879618,1788,27
T3_C0_opus_r6,T3,C0,opus,r6,0.669672,1946,25
T3_C1_opus_r1,T3,C1,opus,r1,0.6696719536879615,1963,25
T3_C1_opus_r2,T3,C1,opus,r2,0.669672,2068,40
T3_C1_opus_r3,T3,C1,opus,r3,0.6696719536879615,1928,28
T3_C1_opus_r4,T3,C1,opus,r4,0.6696719536879615,1059,25
T3_C1_opus_r5,T3,C1,opus,r5,0.6696719536879613,1863,25
T3_C1_opus_r6,T3,C1,opus,r6,0.6696719536879615,2003,30
T3_C2_opus_r1,T3,C2,opus,r1,0.6696719536879615,2183,26
T3_C2_opus_r2,T3,C2,opus,r2,0.6696719536879615,2280,28
T3_C2_opus_r3,T3,C2,opus,r3,0.6696719536879615,1259,26
T3_C2_opus_r4,T3,C2,opus,r4,0.6696719536879615,1341,20
T3_C2_opus_r5,T3,C2,opus,r5,0.6696719536879615,1743,21
T3_C2_opus_r6,T3,C2,opus,r6,0.6696719536879615,1357,23
T3_C3_opus_r1,T3,C3,opus,r1,0.6696719536879615,1316,22
T3_C3_opus_r3,T3,C3,opus,r3,0.6696719536879615,1314,24
T3_C3_opus_r2,T3,C3,opus,r2,0.6696719536879615,1688,20
T3_C3_opus_r6,T3,C3,opus,r6,0.6696719536879615,1349,24
T3_C3_opus_r4,T3,C3,opus,r4,0.6696719536879615,1676,15
T3_C3_opus_r5,T3,C3,opus,r5,0.6696719536879615,1571,20
T3_C4_opus_r1,T3,C4,opus,r1,0.6696719536879615,1508,18
T3_C4_opus_r3,T3,C4,opus,r3,0.6696719536879615,1382,20
T3_C4_opus_r2,T3,C4,opus,r2,0.6696719536879615,618,17
T3_C4_opus_r6,T3,C4,opus,r6,0.6696719536879615,1182,15
T3_C4_opus_r5,T3,C4,opus,r5,0.6696719536879615,1118,21
T3_C4_opus_r4,T3,C4,opus,r4,0.6696719536879615,1942,21
T4_C0_opus_r1,T4,C0,opus,r1,3.2952064217134107,2770,10
T4_C0_opus_r3,T4,C0,opus,r3,3.2952064217134107,2081,23
T4_C0_opus_r2,T4,C0,opus,r2,3.2952064217134107,2416,15
T4_C0_opus_r4,T4,C0,opus,r4,3.2952064217134107,2258,20
T4_C0_opus_r6,T4,C0,opus,r6,3.29520642171341,3272,46
T4_C0_opus_r5,T4,C0,opus,r5,3.2952064217134107,3561,11
T4_C1_opus_r1,T4,C1,opus,r1,3.2952064217134107,1093,10
T4_C1_opus_r4,T4,C1,opus,r4,3.2952064217134107,1495,18
T4_C1_opus_r3,T4,C1,opus,r3,3.2952064217134107,2659,14
T4_C2_opus_r1,T4,C2,opus,r1,3.4641913664166615,1274,28
T4_C1_opus_r6,T4,C1,opus,r6,3.295206,3129,13
T4_C2_opus_r2,T4,C2,opus,r2,3.4641913664166615,1863,21
T4_C2_opus_r3,T4,C2,opus,r3,3.4641913664166615,1441,13
T4_C1_opus_r2,T4,C1,opus,r2,3.2952064217134107,5547,20
T4_C1_opus_r5,T4,C1,opus,r5,3.295206,3572,24
T4_C2_opus_r5,T4,C2,opus,r5,3.4641913664166615,1571,10
T4_C2_opus_r4,T4,C2,opus,r4,3.4641913664166615,1958,18
T4_C2_opus_r6,T4,C2,opus,r6,3.4641913664166615,2114,14
T4_C3_opus_r2,T4,C3,opus,r2,3.4641913664166615,1951,25
T4_C3_opus_r3,T4,C3,opus,r3,3.4641913664166615,939,17
T4_C3_opus_r1,T4,C3,opus,r1,3.4641913664166615,2123,30
T4_C3_opus_r4,T4,C3,opus,r4,3.4641913664166615,1669,22
T4_C3_opus_r5,T4,C3,opus,r5,3.4641913664166615,1878,14
T4_C4_opus_r2,T4,C4,opus,r2,3.4641913664166615,1525,18
T4_C3_opus_r6,T4,C3,opus,r6,3.4641913664166615,1568,6
T4_C4_opus_r3,T4,C4,opus,r3,3.4641913664166615,1161,30
T4_C4_opus_r1,T4,C4,opus,r1,3.4641913664166615,3161,33
T1_C0_sonnet_r1,T1,C0,sonnet,r1,-0.11756978413300206,1040,9
T4_C4_opus_r4,T4,C4,opus,r4,3.4641913664166615,2859,32
T4_C4_opus_r5,T4,C4,opus,r5,3.4641913664166615,3135,31
T1_C0_sonnet_r2,T1,C0,sonnet,r2,-0.11756978413300206,828,17
T4_C4_opus_r6,T4,C4,opus,r6,3.464191,1963,25
T1_C0_sonnet_r3,T1,C0,sonnet,r3,-0.11756978413300206,1996,17
T1_C0_sonnet_r4,T1,C0,sonnet,r4,-0.11756978413300206,1070,8
T1_C0_sonnet_r5,T1,C0,sonnet,r5,-0.11756978413300206,921,12
T1_C4_sonnet_r1,T1,C4,sonnet,r1,-0.11756978413300206,399,13
T1_C4_sonnet_r2,T1,C4,sonnet,r2,-0.11756978413300206,884,8
T1_C0_sonnet_r6,T1,C0,sonnet,r6,-0.11756978413300206,1004,14
T1_C4_sonnet_r3,T1,C4,sonnet,r3,-0.11756978413300206,936,9
T1_C4_sonnet_r4,T1,C4,sonnet,r4,-0.11756978413300206,869,10
T1_C4_sonnet_r5,T1,C4,sonnet,r5,-0.11756978413300206,1760,21
T1_C4_sonnet_r6,T1,C4,sonnet,r6,-0.11756978413300206,1530,19
T2_C0_sonnet_r1,T2,C0,sonnet,r1,0.8805970149253731,2432,40
T2_C0_sonnet_r3,T2,C0,sonnet,r3,0.8805970149253731,2251,28
T2_C0_sonnet_r4,T2,C0,sonnet,r4,0.8805970149253731,2795,37
T2_C0_sonnet_r2,T2,C0,sonnet,r2,0.8805970149253731,2643,40
T2_C4_sonnet_r2,T2,C4,sonnet,r2,0.8805970149253731,1648,24
T2_C4_sonnet_r1,T2,C4,sonnet,r1,0.8805970149253731,1775,28
T2_C0_sonnet_r5,T2,C0,sonnet,r5,0.8805970149253731,3290,36
T2_C4_sonnet_r3,T2,C4,sonnet,r3,0.8805970149253731,1128,28
T2_C0_sonnet_r6,T2,C0,sonnet,r6,0.880597,3582,36
T2_C4_sonnet_r6,T2,C4,sonnet,r6,0.8805970149253731,1286,20
T2_C4_sonnet_r4,T2,C4,sonnet,r4,0.8805970149253731,2028,30
T3_C0_sonnet_r1,T3,C0,sonnet,r1,0.6696719536879615,2339,40
T2_C4_sonnet_r5,T2,C4,sonnet,r5,0.8805970149253731,2914,30
T3_C0_sonnet_r2,T3,C0,sonnet,r2,0.6697,2215,18
T3_C0_sonnet_r3,T3,C0,sonnet,r3,0.6696719536879615,2779,28
T3_C4_sonnet_r2,T3,C4,sonnet,r2,0.6696719536879615,1000,12
T3_C0_sonnet_r5,T3,C0,sonnet,r5,0.6696719536879615,1975,29
T3_C4_sonnet_r1,T3,C4,sonnet,r1,0.6696719536879615,1303,18
T3_C4_sonnet_r3,T3,C4,sonnet,r3,0.6696719536879615,829,17
T3_C0_sonnet_r4,T3,C0,sonnet,r4,0.6696719536879615,4743,36
T3_C0_sonnet_r6,T3,C0,sonnet,r6,0.6696719536879615,4330,31
T3_C4_sonnet_r4,T3,C4,sonnet,r4,0.6696719536879615,1066,19
T3_C4_sonnet_r5,T3,C4,sonnet,r5,0.6696719536879615,1791,24
T4_C0_sonnet_r1,T4,C0,sonnet,r1,3.4641913664166615,1997,10
T3_C4_sonnet_r6,T3,C4,sonnet,r6,0.6696719536879615,2120,20
T4_C0_sonnet_r4,T4,C0,sonnet,r4,3.4641913664166615,1882,10
T4_C0_sonnet_r2,T4,C0,sonnet,r2,3.4642,2783,6
T4_C0_sonnet_r5,T4,C0,sonnet,r5,3.4641913664166615,3361,14
T4_C0_sonnet_r6,T4,C0,sonnet,r6,3.4641913664166615,2035,14
T4_C0_sonnet_r3,T4,C0,sonnet,r3,3.4641913664166624,6236,19
T4_C4_sonnet_r3,T4,C4,sonnet,r3,3.4641913664166615,1131,14
T4_C4_sonnet_r2,T4,C4,sonnet,r2,3.4641913664166615,2370,26
T1_C0_haiku_r1,T1,C0,haiku,r1,-0.11756978413300208,1263,20
T4_C4_sonnet_r6,T4,C4,sonnet,r6,3.4641913664166615,3004,23
T1_C0_haiku_r2,T1,C0,haiku,r2,-0.11756978413300208,1002,20
T4_C4_sonnet_r1,T4,C4,sonnet,r1,3.2952064217134107,6419,14
T1_C0_haiku_r3,T1,C0,haiku,r3,-0.11756978413300206,1386,21
T4_C4_sonnet_r5,T4,C4,sonnet,r5,3.4641913664166624,3773,7
T1_C0_haiku_r5,T1,C0,haiku,r5,-0.11756978413300206,1179,24
T1_C0_haiku_r4,T1,C0,haiku,r4,-0.1175697841,1062,24
T1_C4_haiku_r1,T1,C4,haiku,r1,-0.11756978413300206,271,11
T4_C4_sonnet_r4,T4,C4,sonnet,r4,3.2952064217134107,6973,62
T1_C4_haiku_r2,T1,C4,haiku,r2,-0.11756978413300206,1080,9
T1_C4_haiku_r3,T1,C4,haiku,r3,-0.11756978413300206,1582,10
T1_C4_haiku_r4,T1,C4,haiku,r4,-0.11756978413300206,2120,24
T1_C0_haiku_r6,T1,C0,haiku,r6,-0.11756978413300208,3898,32
T1_C4_haiku_r5,T1,C4,haiku,r5,-0.11756978413300206,1076,6
T1_C4_haiku_r6,T1,C4,haiku,r6,-0.11756978413300206,1552,26
T2_C0_haiku_r3,T2,C0,haiku,r3,0.9104477611940298,517,52
T2_C0_haiku_r1,T2,C0,haiku,r1,0.9104477611940298,2470,22
T2_C0_haiku_r2,T2,C0,haiku,r2,0.8805970149253731,1669,27
T2_C0_haiku_r4,T2,C0,haiku,r4,0.9104477611940298,2731,25
T2_C0_haiku_r5,T2,C0,haiku,r5,0.9104477611940298,1676,45
T2_C4_haiku_r1,T2,C4,haiku,r1,0.8805970149253731,2558,24
T2_C4_haiku_r2,T2,C4,haiku,r2,0.8805970149253731,1100,50
T2_C4_haiku_r3,T2,C4,haiku,r3,0.8805970149253731,2188,27
T2_C4_haiku_r5,T2,C4,haiku,r5,0.8805970149253731,2021,40
T3_C0_haiku_r1,T3,C0,haiku,r1,0.669672,1374,38
T2_C4_haiku_r6,T2,C4,haiku,r6,0.8805970149253731,2360,30
T2_C0_haiku_r6,T2,C0,haiku,r6,0.8656716417910447,7900,46
T2_C4_haiku_r4,T2,C4,haiku,r4,0.8805970149253731,1501,27
T3_C0_haiku_r2,T3,C0,haiku,r2,0.6696719536879615,2163,20
T3_C0_haiku_r5,T3,C0,haiku,r5,0.6696719536879615,720,22
T3_C0_haiku_r4,T3,C0,haiku,r4,0.6696719536879615,1886,17
T3_C4_haiku_r2,T3,C4,haiku,r2,0.6696719536879615,983,52
T3_C0_haiku_r6,T3,C0,haiku,r6,0.6696719536879615,2298,28
T3_C0_haiku_r3,T3,C0,haiku,r3,0.6696719536879615,7418,26
T3_C4_haiku_r1,T3,C4,haiku,r1,0.6696719536879615,299,21
T3_C4_haiku_r3,T3,C4,haiku,r3,0.6696719536879615,1049,39
T3_C4_haiku_r4,T3,C4,haiku,r4,0.6696719536879615,999,35
T3_C4_haiku_r6,T3,C4,haiku,r6,0.6696719536879615,2808,42
T4_C0_haiku_r2,T4,C0,haiku,r2,33.77586582256245,2358,40
T4_C0_haiku_r1,T4,C0,haiku,r1,33.77586582256245,714,28
T3_C4_haiku_r5,T3,C4,haiku,r5,0.6696719536879615,2322,25
T4_C0_haiku_r4,T4,C0,haiku,r4,33.77586582256245,1180,14
T4_C0_haiku_r3,T4,C0,haiku,r3,33.77586582256245,1532,22
T4_C0_haiku_r6,T4,C0,haiku,r6,33.77586582256245,1197,7
T4_C4_haiku_r2,T4,C4,haiku,r2,3.4641913664166615,2215,8
T4_C0_haiku_r5,T4,C0,haiku,r5,33.77586582256245,1629,8
T4_C4_haiku_r3,T4,C4,haiku,r3,3.4641913664166615,1421,13
T4_C4_haiku_r4,T4,C4,haiku,r4,3.4641913664166615,1193,5
T4_C4_haiku_r1,T4,C4,haiku,r1,3.4641913664166615,5949,9
T4_C4_haiku_r5,T4,C4,haiku,r5,3.4641913664166615,4473,5
T4_C4_haiku_r6,T4,C4,haiku,r6,3.4641913664166615,3117,9
