run_id,task,fork,dataset,arm,provider,model,rep,value,correct,error
A1_reef_biomass|skill|openai|r1,A1_reef_biomass,aggregation,reef,skill,openai,gpt-4.1,1,3.4641913664166615,True,
A1_reef_biomass|none|openai|r5,A1_reef_biomass,aggregation,reef,none,openai,gpt-4.1,5,1.7320956832083307,False,
A1_reef_biomass|none|openai|r4,A1_reef_biomass,aggregation,reef,none,openai,gpt-4.1,4,33.77586582256245,False,
A1_reef_biomass|none|openai|r1,A1_reef_biomass,aggregation,reef,none,openai,gpt-4.1,1,1462.641569,False,
A1_reef_biomass|none|openai|r3,A1_reef_biomass,aggregation,reef,none,openai,gpt-4.1,3,3.295206,False,
A1_reef_biomass|skill|openai|r2,A1_reef_biomass,aggregation,reef,skill,openai,gpt-4.1,2,3.4641913664166615,True,
A1_reef_biomass|skill|openai|r3,A1_reef_biomass,aggregation,reef,skill,openai,gpt-4.1,3,3.4641913664166615,True,
A1_reef_biomass|skill|openai|r4,A1_reef_biomass,aggregation,reef,skill,openai,gpt-4.1,4,3.4641913664166615,True,
A1_reef_biomass|skill|openai|r5,A1_reef_biomass,aggregation,reef,skill,openai,gpt-4.1,5,3.4641913664166615,True,
A1_reef_biomass|none|openai|r2,A1_reef_biomass,aggregation,reef,none,openai,gpt-4.1,2,3.295,False,
A1_reef_biomass|code|openai|r2,A1_reef_biomass,aggregation,reef,code,openai,gpt-4.1,2,33.775866,False,
A2_portal_abundance|none|openai|r1,A2_portal_abundance,aggregation,portal,none,openai,gpt-4.1,1,55.326,True,
A1_reef_biomass|code|openai|r3,A1_reef_biomass,aggregation,reef,code,openai,gpt-4.1,3,33.77586582256245,False,
A1_reef_biomass|code|openai|r4,A1_reef_biomass,aggregation,reef,code,openai,gpt-4.1,4,33.775866,False,
A2_portal_abundance|none|openai|r2,A2_portal_abundance,aggregation,portal,none,openai,gpt-4.1,2,55.326,True,
A2_portal_abundance|none|openai|r4,A2_portal_abundance,aggregation,portal,none,openai,gpt-4.1,4,55.326333,True,
A2_portal_abundance|none|openai|r3,A2_portal_abundance,aggregation,portal,none,openai,gpt-4.1,3,55.3263,True,
A1_reef_biomass|code|openai|r1,A1_reef_biomass,aggregation,reef,code,openai,gpt-4.1,1,2.4976238562399193,False,
A2_portal_abundance|none|openai|r5,A2_portal_abundance,aggregation,portal,none,openai,gpt-4.1,5,55.32633,True,
A2_portal_abundance|skill|openai|r1,A2_portal_abundance,aggregation,portal,skill,openai,gpt-4.1,1,55.326333,True,
A2_portal_abundance|skill|openai|r3,A2_portal_abundance,aggregation,portal,skill,openai,gpt-4.1,3,55.32633279483037,True,
A2_portal_abundance|skill|openai|r2,A2_portal_abundance,aggregation,portal,skill,openai,gpt-4.1,2,55.326333,True,
A2_portal_abundance|skill|openai|r4,A2_portal_abundance,aggregation,portal,skill,openai,gpt-4.1,4,55.326333,True,
A2_portal_abundance|code|openai|r1,A2_portal_abundance,aggregation,portal,code,openai,gpt-4.1,1,55.326333,True,
A2_portal_abundance|code|openai|r3,A2_portal_abundance,aggregation,portal,code,openai,gpt-4.1,3,55.326333,True,
A2_portal_abundance|skill|openai|r5,A2_portal_abundance,aggregation,portal,skill,openai,gpt-4.1,5,55.326333,True,
A2_portal_abundance|code|openai|r2,A2_portal_abundance,aggregation,portal,code,openai,gpt-4.1,2,55.326,True,
A1_reef_biomass|code|openai|r5,A1_reef_biomass,aggregation,reef,code,openai,gpt-4.1,5,33.77586582256245,False,
A2_portal_abundance|code|openai|r4,A2_portal_abundance,aggregation,portal,code,openai,gpt-4.1,4,55.32633279483037,True,
A2_portal_abundance|code|openai|r5,A2_portal_abundance,aggregation,portal,code,openai,gpt-4.1,5,55.326333,True,
A3_portal_richness|none|openai|r1,A3_portal_richness,aggregation,portal,none,openai,gpt-4.1,1,6.688207,True,
A3_portal_richness|none|openai|r3,A3_portal_richness,aggregation,portal,none,openai,gpt-4.1,3,6.688,True,
A3_portal_richness|none|openai|r2,A3_portal_richness,aggregation,portal,none,openai,gpt-4.1,2,6.688,True,
A3_portal_richness|none|openai|r4,A3_portal_richness,aggregation,portal,none,openai,gpt-4.1,4,6.688207,True,
A3_portal_richness|none|openai|r5,A3_portal_richness,aggregation,portal,none,openai,gpt-4.1,5,6.688206785137318,True,
A3_portal_richness|skill|openai|r2,A3_portal_richness,aggregation,portal,skill,openai,gpt-4.1,2,6.688207,True,
A3_portal_richness|skill|openai|r1,A3_portal_richness,aggregation,portal,skill,openai,gpt-4.1,1,6.688206785137318,True,
A3_portal_richness|skill|openai|r3,A3_portal_richness,aggregation,portal,skill,openai,gpt-4.1,3,6.688207,True,
A3_portal_richness|skill|openai|r4,A3_portal_richness,aggregation,portal,skill,openai,gpt-4.1,4,6.688206785137318,True,
A3_portal_richness|code|openai|r1,A3_portal_richness,aggregation,portal,code,openai,gpt-4.1,1,6.688206785137318,True,
